"id","timestamp","memory_usage_percent"
315,"2025-09-15 12:12:15.50889+00","27.42"
317,"2025-09-15 12:12:16.54888+00","27.44"
319,"2025-09-15 12:12:17.50951+00","27.49"
321,"2025-09-15 12:12:18.508841+00","27.55"
323,"2025-09-15 12:12:19.509147+00","27.49"
325,"2025-09-15 12:12:20.526785+00","27.52"
327,"2025-09-15 12:12:21.510023+00","27.61"
329,"2025-09-15 12:12:22.514161+00","27.74"
331,"2025-09-15 12:12:23.508585+00","27.89"
333,"2025-09-15 12:12:24.516501+00","27.99"
335,"2025-09-15 12:12:25.508154+00","28.13"
337,"2025-09-15 12:12:26.511561+00","28.30"
339,"2025-09-15 12:12:27.516014+00","28.41"
341,"2025-09-15 12:12:28.513473+00","28.54"
343,"2025-09-15 12:12:29.509533+00","28.67"
345,"2025-09-15 12:12:30.541024+00","28.83"
347,"2025-09-15 12:12:31.509199+00","29.00"
349,"2025-09-15 12:12:32.510491+00","29.13"
351,"2025-09-15 12:12:33.515905+00","29.14"
353,"2025-09-15 12:12:34.532089+00","29.19"
355,"2025-09-15 12:12:35.509148+00","29.32"
357,"2025-09-15 12:12:36.508111+00","29.37"
359,"2025-09-15 12:12:37.514947+00","29.51"
361,"2025-09-15 12:12:38.510498+00","29.67"
363,"2025-09-15 12:12:39.509502+00","29.85"
365,"2025-09-15 12:12:40.50951+00","29.98"
367,"2025-09-15 12:12:41.507893+00","30.13"
369,"2025-09-15 12:12:42.509397+00","30.29"
371,"2025-09-15 12:12:43.514824+00","30.51"
373,"2025-09-15 12:12:44.514365+00","30.64"
375,"2025-09-15 12:12:45.51238+00","30.82"
377,"2025-09-15 12:12:46.527145+00","30.98"
379,"2025-09-15 12:12:47.508349+00","31.13"
381,"2025-09-15 12:12:48.523885+00","31.30"
383,"2025-09-15 12:12:49.527307+00","31.44"
385,"2025-09-15 12:12:50.511408+00","31.55"
387,"2025-09-15 12:12:51.50655+00","31.68"
389,"2025-09-15 12:12:52.50676+00","31.76"
391,"2025-09-15 12:12:53.507057+00","31.87"
393,"2025-09-15 12:12:54.507148+00","32.01"
395,"2025-09-15 12:12:55.53958+00","32.19"
397,"2025-09-15 12:12:56.505908+00","32.36"
399,"2025-09-15 12:12:57.506693+00","32.55"
401,"2025-09-15 12:12:58.545474+00","32.71"
403,"2025-09-15 12:12:59.516589+00","32.88"
405,"2025-09-15 12:13:00.50979+00","32.95"
407,"2025-09-15 12:13:01.509578+00","33.08"
409,"2025-09-15 12:13:02.507216+00","33.19"
411,"2025-09-15 12:13:03.508261+00","33.28"
413,"2025-09-15 12:13:04.506654+00","33.32"
415,"2025-09-15 12:13:05.507083+00","33.47"
417,"2025-09-15 12:13:06.530084+00","33.61"
419,"2025-09-15 12:13:07.554277+00","33.71"
421,"2025-09-15 12:13:08.544494+00","33.74"
423,"2025-09-15 12:13:09.552845+00","33.74"
425,"2025-09-15 12:13:10.552155+00","33.74"
427,"2025-09-15 12:13:11.544703+00","33.75"
429,"2025-09-15 12:13:12.551748+00","33.75"
431,"2025-09-15 12:13:13.516055+00","33.78"
433,"2025-09-15 12:13:14.554239+00","33.74"
435,"2025-09-15 12:13:15.524602+00","33.73"
437,"2025-09-15 12:13:16.50878+00","33.75"
439,"2025-09-15 12:13:17.506535+00","33.78"
441,"2025-09-15 12:13:18.537669+00","33.76"
443,"2025-09-15 12:13:19.503011+00","33.76"
445,"2025-09-15 12:13:20.504973+00","33.76"
447,"2025-09-15 12:13:21.545996+00","33.76"
449,"2025-09-15 12:13:22.552273+00","33.82"
451,"2025-09-15 12:13:23.532543+00","33.80"
453,"2025-09-15 12:13:24.50326+00","33.83"
455,"2025-09-15 12:13:25.534511+00","33.83"
457,"2025-09-15 12:13:26.526715+00","33.83"
459,"2025-09-15 12:13:27.508714+00","33.83"
461,"2025-09-15 12:13:28.519571+00","34.04"
463,"2025-09-15 12:13:29.561622+00","34.04"
465,"2025-09-15 12:13:30.503625+00","34.04"
467,"2025-09-15 12:13:31.521235+00","34.04"
469,"2025-09-15 12:13:32.504793+00","34.04"
471,"2025-09-15 12:13:33.538769+00","35.10"
473,"2025-09-15 12:13:34.57967+00","36.23"
475,"2025-09-15 12:13:35.625771+00","37.66"
477,"2025-09-15 12:13:36.731947+00","39.36"
479,"2025-09-15 12:13:37.832073+00","41.71"
481,"2025-09-15 12:13:38.806697+00","44.32"
483,"2025-09-15 12:13:39.863367+00","47.18"
485,"2025-09-15 12:13:40.942079+00","49.62"
487,"2025-09-15 12:13:41.990353+00","52.43"
