"id","timestamp","cpu_usage_percent"
1300,"2025-09-09 13:45:46.805609+00","9.59"
1301,"2025-09-09 13:45:47.805286+00","8.31"
1302,"2025-09-09 13:45:48.822741+00","8.17"
1303,"2025-09-09 13:45:49.811976+00","7.57"
1304,"2025-09-09 13:45:50.80582+00","8.53"
1305,"2025-09-09 13:45:51.807168+00","11.65"
1306,"2025-09-09 13:45:52.806818+00","8.49"
1307,"2025-09-09 13:45:53.813757+00","9.97"
1308,"2025-09-09 13:45:54.805096+00","7.46"
1309,"2025-09-09 13:45:56.702575+00","6.95"
1310,"2025-09-09 13:45:57.701861+00","9.07"
1311,"2025-09-09 13:45:58.701966+00","10.40"
1312,"2025-09-09 13:45:59.701479+00","9.85"
1313,"2025-09-09 13:46:00.702302+00","8.68"
1314,"2025-09-09 13:46:01.704232+00","8.34"
1315,"2025-09-09 13:46:02.701867+00","6.52"
1316,"2025-09-09 13:46:03.702436+00","8.04"
1317,"2025-09-09 13:46:04.701997+00","6.83"
1318,"2025-09-09 13:46:05.702099+00","5.58"
1319,"2025-09-09 13:46:06.705088+00","0.19"
1320,"2025-09-09 13:46:07.702173+00","0.44"
1321,"2025-09-09 13:46:08.706277+00","0.00"
1322,"2025-09-09 13:46:09.702671+00","0.00"
1323,"2025-09-09 13:46:10.705907+00","0.06"
1324,"2025-09-09 13:46:11.702611+00","0.06"
1325,"2025-09-09 13:46:12.702004+00","0.06"
1326,"2025-09-09 13:46:13.703427+00","0.00"
1327,"2025-09-09 13:46:14.702117+00","0.06"
1328,"2025-09-09 13:46:15.71489+00","0.13"
1329,"2025-09-09 13:46:16.701781+00","1.44"
1330,"2025-09-09 13:46:17.703586+00","0.50"
1331,"2025-09-09 13:46:18.723457+00","0.13"
1332,"2025-09-09 13:46:19.71624+00","0.25"
1333,"2025-09-09 13:46:20.703988+00","5.58"
1334,"2025-09-09 13:46:21.704663+00","12.99"
1335,"2025-09-09 13:46:23.666989+00","37.86"
1336,"2025-09-09 13:46:24.772858+00","43.49"
1337,"2025-09-09 13:46:27.305346+00","45.85"
1338,"2025-09-09 13:46:28.211904+00","49.44"
1339,"2025-09-09 13:46:29.084341+00","45.93"
1340,"2025-09-09 13:46:29.788615+00","46.31"
1341,"2025-09-09 13:46:30.482526+00","44.65"
1342,"2025-09-09 13:46:31.468318+00","48.97"
1343,"2025-09-09 13:46:32.547462+00","47.69"
1344,"2025-09-09 13:46:33.88465+00","47.02"
1345,"2025-09-09 13:46:35.389063+00","48.59"
1346,"2025-09-09 13:46:37.03921+00","46.59"
1347,"2025-09-09 13:46:38.451147+00","48.59"
1348,"2025-09-09 13:46:40.078561+00","48.89"
1349,"2025-09-09 13:46:41.722075+00","47.24"
1350,"2025-09-09 13:46:43.081122+00","46.11"
1351,"2025-09-09 13:46:44.437204+00","44.83"
1352,"2025-09-09 13:46:45.764469+00","45.18"
1353,"2025-09-09 13:46:47.322168+00","47.17"
1354,"2025-09-09 13:46:49.06736+00","46.26"
1355,"2025-09-09 13:46:50.548078+00","45.27"
1356,"2025-09-09 13:46:52.11053+00","44.63"
1357,"2025-09-09 13:46:53.272728+00","47.20"
1358,"2025-09-09 13:46:54.101374+00","44.23"
1359,"2025-09-09 13:46:54.720614+00","45.83"
1360,"2025-09-09 13:46:55.629026+00","46.60"
1361,"2025-09-09 13:46:56.218709+00","47.07"
1362,"2025-09-09 13:46:57.800277+00","45.29"
1363,"2025-09-09 13:46:58.358932+00","49.00"
1364,"2025-09-09 13:46:58.731+00","49.46"
1365,"2025-09-09 13:46:59.032678+00","47.36"
1366,"2025-09-09 13:46:59.182738+00","48.68"
1367,"2025-09-09 13:46:59.274613+00","48.68"
1368,"2025-09-09 13:46:59.32972+00","48.68"
1369,"2025-09-09 13:46:59.37514+00","48.41"
1370,"2025-09-09 13:46:59.50579+00","48.41"
1371,"2025-09-09 13:47:00.505823+00","16.26"
1372,"2025-09-09 13:47:01.753961+00","38.97"
1373,"2025-09-09 13:47:02.850555+00","43.62"
1374,"2025-09-09 13:47:03.960741+00","42.40"
1375,"2025-09-09 13:47:05.055567+00","43.78"
1376,"2025-09-09 13:47:05.831515+00","43.49"
1377,"2025-09-09 13:47:06.883881+00","42.61"
1378,"2025-09-09 13:47:07.77352+00","44.25"
1379,"2025-09-09 13:47:08.865716+00","43.32"
1380,"2025-09-09 13:47:09.776718+00","43.51"
1381,"2025-09-09 13:47:10.879766+00","45.86"
1382,"2025-09-09 13:47:11.804685+00","44.12"
1383,"2025-09-09 13:47:12.874487+00","45.75"
1384,"2025-09-09 13:47:13.798396+00","43.69"
1385,"2025-09-09 13:47:14.913726+00","44.95"
1386,"2025-09-09 13:47:15.85316+00","44.60"
1387,"2025-09-09 13:47:16.931191+00","45.42"
1388,"2025-09-09 13:47:17.951728+00","45.80"
1389,"2025-09-09 13:47:18.897044+00","45.08"
1390,"2025-09-09 13:47:19.906258+00","43.79"
1391,"2025-09-09 13:47:20.843146+00","43.37"
1392,"2025-09-09 13:47:21.917229+00","47.03"
1393,"2025-09-09 13:47:22.719408+00","45.60"
1394,"2025-09-09 13:47:23.575034+00","47.11"
1395,"2025-09-09 13:47:24.510947+00","23.19"
1396,"2025-09-09 13:47:25.502741+00","0.31"
1397,"2025-09-09 13:47:26.518134+00","0.19"
1398,"2025-09-09 13:47:28.739753+00","12.86"
1399,"2025-09-09 13:47:33.541449+00","18.97"
1400,"2025-09-09 13:47:33.907273+00","17.05"
1401,"2025-09-09 13:47:33.921785+00","12.73"
1402,"2025-09-09 13:47:33.927691+00","12.73"
1403,"2025-09-09 13:47:33.932973+00","12.73"
1404,"2025-09-09 13:47:34.388693+00","1.17"
1405,"2025-09-09 13:47:35.392783+00","0.06"
1406,"2025-09-09 13:47:36.38811+00","0.13"
1407,"2025-09-09 13:47:37.38859+00","0.56"
1408,"2025-09-09 13:47:38.389125+00","0.00"
1409,"2025-09-09 13:47:39.40041+00","0.19"
1410,"2025-09-09 13:47:40.416665+00","0.88"
1411,"2025-09-09 13:47:41.388197+00","19.57"
1412,"2025-09-09 13:47:42.395216+00","0.57"
1413,"2025-09-09 13:47:43.393186+00","0.81"
1414,"2025-09-09 13:47:44.540487+00","31.53"
1415,"2025-09-09 13:47:45.620765+00","48.88"
1416,"2025-09-09 13:47:46.592802+00","49.36"
1417,"2025-09-09 13:47:47.586021+00","48.37"
1418,"2025-09-09 13:47:48.566663+00","50.87"
1419,"2025-09-09 13:47:49.534323+00","48.94"
1420,"2025-09-09 13:47:50.386849+00","44.03"
1421,"2025-09-09 13:47:51.403033+00","9.85"
1422,"2025-09-09 13:47:52.386828+00","8.31"
1423,"2025-09-09 13:47:53.387359+00","7.52"
1424,"2025-09-09 13:47:54.387146+00","3.86"
1425,"2025-09-09 13:47:55.386557+00","7.58"
1426,"2025-09-09 13:47:56.387566+00","10.68"
1427,"2025-09-09 13:47:57.387149+00","7.65"
1428,"2025-09-09 13:47:58.387045+00","0.00"
1429,"2025-09-09 13:48:00.272886+00","0.31"
1430,"2025-09-09 13:48:01.273322+00","0.00"
1431,"2025-09-09 13:48:02.276148+00","0.00"
1432,"2025-09-09 13:48:03.291311+00","1.18"
1433,"2025-09-09 13:48:04.282292+00","0.50"
1434,"2025-09-09 13:48:05.273671+00","0.68"
1435,"2025-09-09 13:48:06.274183+00","2.41"
1436,"2025-09-09 13:48:07.273864+00","4.78"
1437,"2025-09-09 13:48:08.272964+00","4.42"
1438,"2025-09-09 13:48:09.276624+00","9.49"
1439,"2025-09-09 13:48:10.276626+00","15.39"
1440,"2025-09-09 13:48:11.28201+00","35.42"
1441,"2025-09-09 13:48:12.317806+00","49.91"
1442,"2025-09-09 13:48:13.362186+00","50.76"
1443,"2025-09-09 13:48:14.499512+00","50.08"
1444,"2025-09-09 13:48:15.442452+00","50.02"
1445,"2025-09-09 13:48:16.925365+00","47.56"
1446,"2025-09-09 13:48:19.335806+00","46.51"
1447,"2025-09-09 13:48:20.173974+00","47.93"
1448,"2025-09-09 13:48:20.594866+00","46.73"
1449,"2025-09-09 13:48:20.929304+00","47.96"
1450,"2025-09-09 13:48:21.486497+00","45.81"
1451,"2025-09-09 13:48:22.478591+00","47.78"
1452,"2025-09-09 13:48:23.484489+00","47.96"
1453,"2025-09-09 13:48:24.498801+00","47.87"
1454,"2025-09-09 13:48:25.530509+00","47.59"
1455,"2025-09-09 13:48:26.724169+00","48.16"
1456,"2025-09-09 13:48:27.698993+00","47.36"
1457,"2025-09-09 13:48:28.588303+00","46.07"
1458,"2025-09-09 13:48:30.517676+00","47.21"
1459,"2025-09-09 13:48:31.423883+00","47.51"
1460,"2025-09-09 13:48:32.350029+00","48.21"
1461,"2025-09-09 13:48:33.337997+00","46.13"
1462,"2025-09-09 13:48:34.397677+00","48.49"
1463,"2025-09-09 13:48:35.177023+00","40.88"
1464,"2025-09-09 13:48:36.180863+00","0.25"
1465,"2025-09-09 13:48:37.192601+00","0.74"
1466,"2025-09-09 13:48:38.201205+00","3.54"
1467,"2025-09-09 13:48:39.197619+00","0.31"
1468,"2025-09-09 13:48:40.19644+00","1.20"
1469,"2025-09-09 13:48:41.186821+00","3.49"
1470,"2025-09-09 13:48:42.177418+00","3.42"
1471,"2025-09-09 13:48:43.185561+00","5.11"
1472,"2025-09-09 13:48:44.18081+00","4.78"
1473,"2025-09-09 13:48:45.1772+00","4.97"
1474,"2025-09-09 13:48:46.18685+00","7.36"
1475,"2025-09-09 13:48:47.177266+00","10.53"
1476,"2025-09-09 13:48:48.1773+00","1.99"
1477,"2025-09-09 13:48:49.208135+00","3.60"
1478,"2025-09-09 13:48:50.176852+00","2.19"
1479,"2025-09-09 13:48:51.17671+00","4.79"
1480,"2025-09-09 13:48:52.176748+00","0.13"
1481,"2025-09-09 13:48:53.190641+00","0.38"
1482,"2025-09-09 13:48:54.192821+00","0.43"
1483,"2025-09-09 13:48:55.17855+00","6.60"
1484,"2025-09-09 13:48:56.189997+00","1.89"
1485,"2025-09-09 13:48:57.176985+00","0.62"
1486,"2025-09-09 13:48:58.178744+00","0.06"
1487,"2025-09-09 13:48:59.176178+00","0.25"
1488,"2025-09-09 13:49:00.193251+00","0.06"
1489,"2025-09-09 13:49:02.092171+00","0.69"
